id ra dec zphot zspec f770w f1800w mstar_gal mstar_gal_l68 mstar_gal_u68 av_gal_1 av_gal_1_l68 av_gal_1_u68 av_gal_2 av_gal_2_l68 av_gal_2_u68 logLbol logLbol_l68 logLbol_u68 av_agn av_agn_l68 av_agn_u68 fhd fhd_l68 fhd_u68 mstar_hybrid mstar_hybrid_l68 mstar_hybrid_u68 av_hybrid av_hybrid_l68 av_hybrid_u68
COS-21700 150.115213 2.282988 4.69 -1.0 25.95 -23.2 9.34 9.27 9.4 0.0 0.0 0.0 1.59 1.46 1.73 45.04 44.98 45.1 2.28 2.09 2.48 0.2108 0.077 0.4004 7.84 7.56 8.05 0.17 0.05 0.35
COS-22424 150.08281 2.277724 5.35 -1.0 23.86 -23.3 10.5 10.41 10.65 0.2 0.06 0.4 4.34 4.16 4.5 46.26 46.23 46.29 4.59 4.52 4.64 0.0137 0.0052 0.0236 7.74 7.38 8.0 0.18 0.06 0.33
COS-22433 150.078017 2.277621 6.28 -1.0 24.04 -23.56 10.59 10.52 10.63 0.12 0.03 0.3 2.81 2.76 2.88 46.25 46.21 46.28 3.09 2.99 3.18 0.0038 0.0011 0.0094 8.52 8.22 8.91 0.75 0.67 0.82
COS-25273 150.084702 2.254013 8.56 -1.0 25.82 -23.45 10.09 9.97 10.23 0.33 0.15 0.52 3.96 3.78 4.2 45.93 45.84 46.01 3.01 2.84 3.19 0.2148 0.0656 0.3784 8.68 8.5 8.8 0.2 0.08 0.33
COS-26016 150.063751 2.246798 5.47 -1.0 22.82 23.3 10.69 10.58 10.82 0.12 0.03 0.3 2.51 2.43 2.59 46.57 46.55 46.6 3.14 3.08 3.22 0.0007 0.0002 0.0017 9.05 8.79 9.21 0.45 0.31 0.62
COS-26234 150.07521 2.244678 4.75 -1.0 24.68 -23.32 9.92 9.85 10.01 0.0 0.0 0.0 2.53 2.37 2.7 45.65 45.59 45.71 3.05 2.86 3.26 0.1009 0.0493 0.1387 8.01 7.7 8.21 0.19 0.05 0.43
COS-26676 150.066564 2.240178 6.04 -1.0 25.13 -23.12 9.89 9.78 10.0 0.0 0.0 0.0 2.26 2.11 2.53 45.71 45.63 45.79 2.94 2.73 3.13 0.1384 0.0439 0.2485 8.09 7.75 8.33 0.16 0.04 0.35
COS-27477 150.098383 2.232665 4.33 -1.0 22.68 -23.39 10.7 10.66 10.73 0.0 0.0 0.0 2.36 2.29 2.46 46.33 46.3 46.35 2.99 2.92 3.07 0.0007 0.0002 0.0018 8.96 8.89 9.04 1.49 1.48 1.5
COS-30244 150.071665 2.200398 5.17 -1.0 22.78 21.77 10.57 10.45 10.71 0.32 0.13 0.5 4.3 4.08 4.49 46.67 46.61 46.72 4.19 4.02 4.35 0.0558 0.0434 0.0695 7.91 7.84 7.98 0.28 0.2 0.37
COS-35781 150.085867 2.189921 4.72 -1.0 25.95 -23.3 9.17 9.07 9.29 0.0 0.0 0.0 1.99 1.71 2.34 44.97 44.88 45.06 2.84 2.54 3.16 0.5864 0.354 0.8111 7.66 7.3 7.94 0.32 0.11 0.61
COS-67746 150.081871 2.30045 9.16 -1.0 27.61 -23.18 8.7 8.54 8.85 0.0 0.0 0.0 0.69 0.5 0.91 45.15 44.91 45.42 2.52 2.03 3.04 0.7353 0.2138 1.266 8.17 7.93 8.34 0.12 0.03 0.27
COS-74251 150.072897 2.323619 6.43 -1.0 25.12 -23.32 9.75 9.61 9.89 0.35 0.14 0.59 3.79 3.44 4.06 45.57 45.38 45.78 3.35 2.9 3.88 0.2721 0.1022 0.5069 7.97 7.48 8.26 0.31 0.13 0.54
COS-75330 150.083618 2.320564 5.56 -1.0 24.93 -23.11 10.56 10.41 10.67 1.25 0.86 1.6 6.85 6.68 6.96 45.79 45.7 45.86 4.46 4.17 4.6 0.1565 0.0627 0.2281 7.86 7.48 8.07 0.2 0.06 0.45
COS-79014 150.160274 2.464053 9.79 -1.0 26.33 -23.02 9.28 9.11 9.45 0.0 0.0 0.0 1.12 0.89 1.36 45.72 45.51 45.93 2.85 2.45 3.27 0.6804 0.2102 1.2365 8.61 8.39 8.8 0.36 0.15 0.59
COS-108622 150.154692 2.350232 6.34 -1.0 -25.7 -23.01 9.92 9.83 10.02 0.46 0.23 0.69 4.23 3.9 4.63 45.09 44.91 45.27 2.63 2.21 3.12 0.6531 0.2199 1.167 8.01 7.68 8.23 0.24 0.08 0.47
COS-111762 150.170179 2.342379 6.1 -1.0 -25.7 -23.15 10.14 10.05 10.29 1.09 0.86 1.38 5.74 5.23 6.33 45.04 44.92 45.17 2.71 2.39 3.03 0.6928 0.234 1.1539 7.5 7.21 7.73 0.35 0.1 0.74
UDS-3510 34.368949 -5.103948 5.92 -1.0 24.63 -23.15 10.33 10.26 10.38 0.0 0.0 0.0 2.39 2.32 2.49 46.05 46.01 46.1 2.95 2.84 3.07 0.0302 0.0086 0.0607 8.55 8.26 8.72 0.44 0.22 0.65
UDS-4090 34.394401 -5.106762 5.17 -1.0 24.22 -23.48 10.35 10.29 10.42 1.0 0.77 1.23 4.27 4.03 4.52 45.94 45.86 46.02 3.62 3.4 3.85 0.035 0.0148 0.0586 7.88 7.27 8.22 0.44 0.21 0.68
